title,genres,clean_title
Star Maps (1997),Drama,Star Maps
In & Out (1997),Comedy,In & Out
"Edge, The (1997)",Adventure Drama,"Edge, The"
"Peacemaker, The (1997)",Action Thriller War,"Peacemaker, The"
L.A. Confidential (1997),Crime Film-Noir Mystery Thriller,L.A. Confidential
Seven Years in Tibet (1997),Adventure Drama War,Seven Years in Tibet
Kiss the Girls (1997),Crime Drama Mystery Thriller,Kiss the Girls
Soul Food (1997),Drama,Soul Food
Wishmaster (1997),Horror,Wishmaster
"Thousand Acres, A (1997)",Drama,"Thousand Acres, A"
"Game, The (1997)",Drama Mystery Thriller,"Game, The"
Fire Down Below (1997),Action Drama Thriller,Fire Down Below
U Turn (1997),Crime Drama Mystery,U Turn
"MatchMaker, The (1997)",Comedy Romance,"MatchMaker, The"
"Assignment, The (1997)",Action Thriller,"Assignment, The"
Ulee's Gold (1997),Drama,Ulee's Gold
"Ice Storm, The (1997)",Drama,"Ice Storm, The"
Chasing Amy (1997),Comedy Drama Romance,Chasing Amy
"Full Monty, The (1997)",Comedy Drama,"Full Monty, The"
Indian Summer (a.k.a. Alive & Kicking) (1996),Comedy Drama,Indian Summer (a.k.a. Alive & Kicking)
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",Drama Romance,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown)"
I Know What You Did Last Summer (1997),Horror Mystery Thriller,I Know What You Did Last Summer
The Devil's Advocate (1997),Drama Mystery Thriller,The Devil's Advocate
RocketMan (a.k.a. Rocket Man) (1997),Children Comedy Romance Sci-Fi,RocketMan (a.k.a. Rocket Man)
Playing God (1997),Crime Drama Thriller,Playing God
"House of Yes, The (1997)",Comedy Drama,"House of Yes, The"
"Fast, Cheap & Out of Control (1997)",Documentary,"Fast, Cheap & Out of Control"
Washington Square (1997),Drama,Washington Square
Year of the Horse (1997),Documentary,Year of the Horse
Gattaca (1997),Drama Sci-Fi Thriller,Gattaca
FairyTale: A True Story (1997),Children Drama Fantasy,FairyTale: A True Story
Phantoms (1998),Drama Horror Thriller,Phantoms
Swept from the Sea (1997),Drama Romance,Swept from the Sea
"Life Less Ordinary, A (1997)",Romance Thriller,"Life Less Ordinary, A"
Hurricane Streets (1997),Drama,Hurricane Streets
Eve's Bayou (1997),Drama,Eve's Bayou
Switchback (1997),Crime Mystery Thriller,Switchback
Gang Related (1997),Crime,Gang Related
Stripes (1981),Comedy War,Stripes
Bean (1997),Comedy,Bean
Mad City (1997),Action Drama,Mad City
Welcome to Sarajevo (1997),Drama War,Welcome to Sarajevo
Deceiver (1997),Crime Drama Thriller,Deceiver
"Rainmaker, The (1997)",Drama,"Rainmaker, The"
Boogie Nights (1997),Drama,Boogie Nights
Witness (1985),Drama Romance Thriller,Witness
Incognito (1997),Crime Thriller,Incognito
Starship Troopers (1997),Action Sci-Fi,Starship Troopers
Critical Care (1997),Comedy Drama,Critical Care
"Joy Luck Club, The (1993)",Drama Romance,"Joy Luck Club, The"
Chairman of the Board (1998),Comedy,Chairman of the Board
Sliding Doors (1998),Drama Romance,Sliding Doors
Mortal Kombat: Annihilation (1997),Action Adventure Fantasy,Mortal Kombat: Annihilation
"Truman Show, The (1998)",Comedy Drama Sci-Fi,"Truman Show, The"
"Wings of the Dove, The (1997)",Drama Romance,"Wings of the Dove, The"
Mrs. Dalloway (1997),Drama Romance,Mrs. Dalloway
"I Love You, I Love You Not (1996)",Drama Romance,"I Love You, I Love You Not"
Red Corner (1997),Crime Thriller,Red Corner
"Jackal, The (1997)",Action Thriller,"Jackal, The"
Anastasia (1997),Adventure Animation Children Drama Musical,Anastasia
"Man Who Knew Too Little, The (1997)",Comedy Crime Thriller,"Man Who Knew Too Little, The"
Alien: Resurrection (1997),Action Horror Sci-Fi,Alien: Resurrection
Amistad (1997),Drama Mystery,Amistad
"Apostle, The (1997)",Drama,"Apostle, The"
Artemisia (1997),Drama,Artemisia
Bent (1997),Drama War,Bent
"Butcher Boy, The (1997)",Comedy Drama,"Butcher Boy, The"
Deconstructing Harry (1997),Comedy Drama,Deconstructing Harry
Flubber (1997),Children Comedy Fantasy,Flubber
For Richer or Poorer (1997),Comedy,For Richer or Poorer
Good Will Hunting (1997),Drama Romance,Good Will Hunting
Home Alone 3 (1997),Children Comedy,Home Alone 3
Midnight in the Garden of Good and Evil (1997),Crime Drama Mystery,Midnight in the Garden of Good and Evil
Mouse Hunt (1997),Children Comedy,Mouse Hunt
Scream 2 (1997),Comedy Horror Mystery Thriller,Scream 2
Stranger in the House (1997),Thriller,Stranger in the House
"Sweet Hereafter, The (1997)",Drama,"Sweet Hereafter, The"
Titanic (1997),Drama Romance,Titanic
Tomorrow Never Dies (1997),Action Adventure Thriller,Tomorrow Never Dies
"Postman, The (1997)",Action Adventure Drama Sci-Fi,"Postman, The"
"Horse Whisperer, The (1998)",Drama Romance,"Horse Whisperer, The"
Jackie Brown (1997),Crime Drama Thriller,Jackie Brown
Kundun (1997),Drama,Kundun
Mr. Magoo (1997),Comedy,Mr. Magoo
"Big Lebowski, The (1998)",Comedy Crime,"Big Lebowski, The"
Afterglow (1997),Drama Romance,Afterglow
My Life in Pink (Ma vie en rose) (1997),Comedy Drama,My Life in Pink (Ma vie en rose)
Great Expectations (1998),Drama Romance,Great Expectations
3 Ninjas: High Noon On Mega Mountain (1998),Action Children Comedy,3 Ninjas: High Noon On Mega Mountain
Senseless (1998),Comedy,Senseless
Wag the Dog (1997),Comedy,Wag the Dog
Dark City (1998),Adventure Film-Noir Sci-Fi Thriller,Dark City
Hard Rain (1998),Action Crime Thriller,Hard Rain
Half Baked (1998),Comedy,Half Baked
Fallen (1998),Crime Drama Fantasy Thriller,Fallen
Shooting Fish (1997),Comedy Romance,Shooting Fish
Fallen Angels (Duo luo tian shi) (1995),Drama Romance,Fallen Angels (Duo luo tian shi)
"Four Days in September (O Que É Isso, Companheiro?) (1997)",Drama,"Four Days in September (O Que É Isso, Companheiro?)"
Spice World (1997),Comedy,Spice World
Deep Rising (1998),Action Horror Sci-Fi,Deep Rising
Music From Another Room (1998),Drama Romance,Music From Another Room
"Replacement Killers, The (1998)",Action Crime Thriller,"Replacement Killers, The"
B. Monkey (1998),Crime Romance Thriller,B. Monkey
Night Flier (1997),Horror,Night Flier
Blues Brothers 2000 (1998),Action Comedy Musical,Blues Brothers 2000
"Wedding Singer, The (1998)",Comedy Romance,"Wedding Singer, The"
Sphere (1998),Sci-Fi Thriller,Sphere
Palmetto (1998),Crime Drama Mystery Romance Thriller,Palmetto
As Good as It Gets (1997),Comedy Drama Romance,As Good as It Gets
King of New York (1990),Crime Thriller,King of New York
Twilight (1998),Crime Drama Thriller,Twilight
U.S. Marshals (1998),Action Crime Thriller,U.S. Marshals
Welcome to Woop-Woop (1997),Comedy,Welcome to Woop-Woop
Love and Death on Long Island (1997),Comedy Drama,Love and Death on Long Island
Everest (1998),Documentary IMAX,Everest
Hush (1998),Thriller,Hush
Suicide Kings (1997),Comedy Crime Drama Mystery Thriller,Suicide Kings
"Man in the Iron Mask, The (1998)",Action Adventure Drama,"Man in the Iron Mask, The"
"Newton Boys, The (1998)",Crime Drama,"Newton Boys, The"
Wild Things (1998),Crime Drama Mystery Thriller,Wild Things
Paulie (1998),Adventure Children Comedy,Paulie
"Cool, Dry Place, A (1998)",Drama,"Cool, Dry Place, A"
Fireworks (Hana-bi) (1997),Crime Drama,Fireworks (Hana-bi)
Primary Colors (1998),Comedy Drama,Primary Colors
Wide Awake (1998),Children Comedy Drama,Wide Awake
Two Girls and a Guy (1997),Comedy Drama,Two Girls and a Guy
"Object of My Affection, The (1998)",Comedy Romance,"Object of My Affection, The"
Homegrown (1998),Comedy Thriller,Homegrown
The Players Club (1998),Comedy Drama,The Players Club
Barney's Great Adventure (1998),Adventure Children,Barney's Great Adventure
"Big One, The (1997)",Comedy Documentary,"Big One, The"
Chinese Box (1997),Drama Romance,Chinese Box
Lost in Space (1998),Action Adventure Sci-Fi,Lost in Space
Mercury Rising (1998),Action Drama Thriller,Mercury Rising
"Spanish Prisoner, The (1997)",Crime Drama Mystery Thriller,"Spanish Prisoner, The"
City of Angels (1998),Drama Fantasy Romance,City of Angels
"Last Days of Disco, The (1998)",Comedy Drama,"Last Days of Disco, The"
"Odd Couple II, The (1998)",Comedy,"Odd Couple II, The"
My Giant (1998),Comedy,My Giant
He Got Game (1998),Drama,He Got Game
"Gingerbread Man, The (1998)",Drama Thriller,"Gingerbread Man, The"
Live Flesh (Carne trémula) (1997),Drama Romance,Live Flesh (Carne trémula)
Zero Effect (1998),Comedy Mystery Thriller,Zero Effect
"Borrowers, The (1997)",Adventure Children Comedy Fantasy,"Borrowers, The"
Krippendorf's Tribe (1998),Comedy,Krippendorf's Tribe
Kurt & Courtney (1998),Documentary,Kurt & Courtney
"Real Blonde, The (1997)",Comedy,"Real Blonde, The"
Mr. Nice Guy (Yat goh ho yan) (1997),Action Comedy,Mr. Nice Guy (Yat goh ho yan)
Taste of Cherry (Ta'm e guilass) (1997),Drama,Taste of Cherry (Ta'm e guilass)
Character (Karakter) (1997),Drama,Character (Karakter)
Species II (1998),Horror Sci-Fi,Species II
Major League: Back to the Minors (1998),Comedy,Major League: Back to the Minors
"Big Hit, The (1998)",Action Comedy Crime,"Big Hit, The"
Tarzan and the Lost City (1998),Action Adventure,Tarzan and the Lost City
"Dancer, Texas Pop. 81 (1998)",Comedy Drama,"Dancer, Texas Pop. 81"
"Misérables, Les (1998)",Crime Drama Romance War,"Misérables, Les"
Clockwatchers (1997),Comedy,Clockwatchers
Deep Impact (1998),Drama Sci-Fi Thriller,Deep Impact
Quest for Camelot (1998),Adventure Animation Children Fantasy Musical,Quest for Camelot
Godzilla (1998),Action Sci-Fi Thriller,Godzilla
Bulworth (1998),Comedy Drama Romance,Bulworth
Fear and Loathing in Las Vegas (1998),Adventure Comedy Drama,Fear and Loathing in Las Vegas
"Opposite of Sex, The (1998)",Comedy Drama Romance,"Opposite of Sex, The"
Almost Heroes (1998),Adventure Comedy Western,Almost Heroes
Hope Floats (1998),Comedy Drama Romance,Hope Floats
Insomnia (1997),Drama Mystery Thriller,Insomnia
"Ugly, The (1997)",Horror Thriller,"Ugly, The"
"Perfect Murder, A (1998)",Thriller,"Perfect Murder, A"
Beyond Silence (Jenseits der Stille) (1996),Drama,Beyond Silence (Jenseits der Stille)
Six Days Seven Nights (1998),Adventure Comedy Romance,Six Days Seven Nights
Can't Hardly Wait (1998),Comedy Drama Romance,Can't Hardly Wait
High Art (1998),Drama Romance,High Art
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Comedy Drama,"Children of Heaven, The (Bacheha-Ye Aseman)"
Dream for an Insomniac (1996),Drama Romance,Dream for an Insomniac
Henry Fool (1997),Comedy Drama,Henry Fool
Mr. Jealousy (1997),Comedy Romance,Mr. Jealousy
Mulan (1998),Adventure Animation Children Comedy Drama Musical Romance,Mulan
"X-Files: Fight the Future, The (1998)",Action Crime Mystery Sci-Fi Thriller,"X-Files: Fight the Future, The"
I Went Down (1997),Comedy Crime Drama,I Went Down
Dr. Dolittle (1998),Comedy,Dr. Dolittle
Out of Sight (1998),Comedy Crime Drama Romance Thriller,Out of Sight
Picnic at Hanging Rock (1975),Drama Mystery,Picnic at Hanging Rock
Smoke Signals (1998),Comedy Drama,Smoke Signals
Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama Romance,Buffalo '66 (a.k.a. Buffalo 66)
Armageddon (1998),Action Romance Sci-Fi Thriller,Armageddon
Lethal Weapon 4 (1998),Action Comedy Crime Thriller,Lethal Weapon 4
Madeline (1998),Children Comedy,Madeline
Small Soldiers (1998),Animation Children Fantasy War,Small Soldiers
Pi (1998),Drama Sci-Fi Thriller,Pi
Whatever (1998),Drama,Whatever
There's Something About Mary (1998),Comedy Romance,There's Something About Mary
Plan 9 from Outer Space (1959),Horror Sci-Fi,Plan 9 from Outer Space
"Broadway Melody, The (1929)",Musical,"Broadway Melody, The"
All Quiet on the Western Front (1930),Action Drama War,All Quiet on the Western Front
Cimarron (1931),Drama Western,Cimarron
Grand Hotel (1932),Drama Romance,Grand Hotel
Mutiny on the Bounty (1935),Adventure Drama,Mutiny on the Bounty
"Great Ziegfeld, The (1936)",Drama Musical,"Great Ziegfeld, The"
"Life of Emile Zola, The (1937)",Drama,"Life of Emile Zola, The"
You Can't Take It with You (1938),Comedy Romance,You Can't Take It with You
Mrs. Miniver (1942),Drama War,Mrs. Miniver
Going My Way (1944),Comedy Drama Musical,Going My Way
"Lost Weekend, The (1945)",Drama,"Lost Weekend, The"
"Best Years of Our Lives, The (1946)",Drama War,"Best Years of Our Lives, The"
Gentleman's Agreement (1947),Drama,Gentleman's Agreement
Hamlet (1948),Drama,Hamlet
All the King's Men (1949),Drama,All the King's Men
From Here to Eternity (1953),Drama Romance War,From Here to Eternity
On the Waterfront (1954),Crime Drama,On the Waterfront
Marty (1955),Drama Romance,Marty
West Side Story (1961),Drama Musical Romance,West Side Story
Tom Jones (1963),Adventure Comedy Romance,Tom Jones
"Man for All Seasons, A (1966)",Drama,"Man for All Seasons, A"
In the Heat of the Night (1967),Drama Mystery,In the Heat of the Night
Oliver! (1968),Drama Musical,Oliver!
Midnight Cowboy (1969),Drama,Midnight Cowboy
"French Connection, The (1971)",Action Crime Thriller,"French Connection, The"
Rocky (1976),Drama,Rocky
Kramer vs. Kramer (1979),Drama,Kramer vs. Kramer
Ordinary People (1980),Drama,Ordinary People
Chariots of Fire (1981),Drama,Chariots of Fire
Terms of Endearment (1983),Comedy Drama,Terms of Endearment
Out of Africa (1985),Drama Romance,Out of Africa
"Last Emperor, The (1987)",Drama,"Last Emperor, The"
Rain Man (1988),Drama,Rain Man
Driving Miss Daisy (1989),Drama,Driving Miss Daisy
Take the Money and Run (1969),Comedy Crime,Take the Money and Run
Klute (1971),Drama Mystery,Klute
Repo Man (1984),Comedy Sci-Fi,Repo Man
Metropolitan (1990),Comedy,Metropolitan
Labyrinth (1986),Adventure Fantasy Musical,Labyrinth
"Breakfast Club, The (1985)",Comedy Drama,"Breakfast Club, The"
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",Horror,"Nightmare on Elm Street 2: Freddy's Revenge, A"
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",Horror Thriller,"Nightmare on Elm Street 3: Dream Warriors, A"
"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror Thriller,"Nightmare on Elm Street 4: The Dream Master, A"
"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror,"Nightmare on Elm Street 5: The Dream Child, A"
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",Horror,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A)"
Friday the 13th (1980),Horror Mystery Thriller,Friday the 13th
Friday the 13th Part 2 (1981),Horror,Friday the 13th Part 2
Friday the 13th Part 3: 3D (1982),Horror,Friday the 13th Part 3: 3D
Friday the 13th Part IV: The Final Chapter (1984),Horror,Friday the 13th Part IV: The Final Chapter
Friday the 13th Part V: A New Beginning (1985),Horror,Friday the 13th Part V: A New Beginning
Friday the 13th Part VI: Jason Lives (1986),Horror,Friday the 13th Part VI: Jason Lives
Friday the 13th Part VII: The New Blood (1988),Horror,Friday the 13th Part VII: The New Blood
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,Friday the 13th Part VIII: Jason Takes Manhattan
Halloween (1978),Horror,Halloween
Halloween II (1981),Horror,Halloween II
Halloween III: Season of the Witch (1982),Horror,Halloween III: Season of the Witch
Halloween 4: The Return of Michael Myers (1988),Horror,Halloween 4: The Return of Michael Myers
Halloween 5: The Revenge of Michael Myers (1989),Horror,Halloween 5: The Revenge of Michael Myers
Prom Night (1980),Horror,Prom Night
Prom Night IV: Deliver Us From Evil (1992),Horror,Prom Night IV: Deliver Us From Evil
Child's Play (1988),Horror Thriller,Child's Play
Child's Play 2 (1990),Horror Thriller,Child's Play 2
Child's Play 3 (1991),Comedy Horror Thriller,Child's Play 3
Poltergeist (1982),Horror Thriller,Poltergeist
Poltergeist II: The Other Side (1986),Horror Thriller,Poltergeist II: The Other Side
Poltergeist III (1988),Horror Thriller,Poltergeist III
"Exorcist, The (1973)",Horror Mystery,"Exorcist, The"
Exorcist II: The Heretic (1977),Horror,Exorcist II: The Heretic
"Exorcist III, The (1990)",Horror,"Exorcist III, The"
Lethal Weapon (1987),Action Comedy Crime Drama,Lethal Weapon
Lethal Weapon 2 (1989),Action Comedy Crime Drama,Lethal Weapon 2
Lethal Weapon 3 (1992),Action Comedy Crime Drama,Lethal Weapon 3
Gremlins (1984),Comedy Horror,Gremlins
Gremlins 2: The New Batch (1990),Comedy Horror,Gremlins 2: The New Batch
"Goonies, The (1985)",Action Adventure Children Comedy Fantasy,"Goonies, The"
"Mask of Zorro, The (1998)",Action Comedy Romance,"Mask of Zorro, The"
Polish Wedding (1998),Comedy,Polish Wedding
"This World, Then the Fireworks (1997)",Crime Drama Film-Noir,"This World, Then the Fireworks"
Soylent Green (1973),Drama Mystery Sci-Fi Thriller,Soylent Green
Metropolis (1927),Drama Sci-Fi,Metropolis
Back to the Future Part II (1989),Adventure Comedy Sci-Fi,Back to the Future Part II
Back to the Future Part III (1990),Adventure Comedy Sci-Fi Western,Back to the Future Part III
"Poseidon Adventure, The (1972)",Action Adventure Drama,"Poseidon Adventure, The"
Freaky Friday (1977),Children Comedy Fantasy,Freaky Friday
"Absent-Minded Professor, The (1961)",Children Comedy Fantasy,"Absent-Minded Professor, The"
"Apple Dumpling Gang Rides Again, The (1979)",Children Comedy Western,"Apple Dumpling Gang Rides Again, The"
Babes in Toyland (1961),Children Fantasy Musical,Babes in Toyland
Bambi (1942),Animation Children Drama,Bambi
Seven Samurai (Shichinin no samurai) (1954),Action Adventure Drama,Seven Samurai (Shichinin no samurai)
Dangerous Liaisons (1988),Drama Romance,Dangerous Liaisons
Dune (1984),Adventure Sci-Fi,Dune
"Last Temptation of Christ, The (1988)",Drama,"Last Temptation of Christ, The"
"Godfather: Part III, The (1990)",Crime Drama Mystery Thriller,"Godfather: Part III, The"
"Rapture, The (1991)",Drama Mystery,"Rapture, The"
Lolita (1997),Drama Romance,Lolita
Disturbing Behavior (1998),Horror Thriller,Disturbing Behavior
Jane Austen's Mafia! (1998),Comedy Crime,Jane Austen's Mafia!
Saving Private Ryan (1998),Action Drama War,Saving Private Ryan
"Barefoot Executive, The (1971)",Children Comedy,"Barefoot Executive, The"
"Black Cauldron, The (1985)",Adventure Animation Children Fantasy,"Black Cauldron, The"
"Black Hole, The (1979)",Children Sci-Fi,"Black Hole, The"
Blackbeard's Ghost (1968),Children Comedy,Blackbeard's Ghost
Blank Check (1994),Children Comedy,Blank Check
Candleshoe (1977),Adventure Children Comedy,Candleshoe
"Cat from Outer Space, The (1978)",Children Comedy Sci-Fi,"Cat from Outer Space, The"
"Computer Wore Tennis Shoes, The (1969)",Children Comedy,"Computer Wore Tennis Shoes, The"
Condorman (1981),Action Adventure Children Comedy,Condorman
D2: The Mighty Ducks (1994),Children Comedy,D2: The Mighty Ducks
